Season,TeamSource,TeamCanonical,TrueSeed,IsSelected,SourceUrl,SourceType,Verified
2020-21,Florida,Florida,28,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,LSU,LSU,29,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Loyola Chicago,Loyola Chicago,30,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,North Carolina,North Carolina,31,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Oklahoma,Oklahoma,32,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Missouri,Missouri,33,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Georgia Tech,Georgia Tech,34,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Wisconsin,Wisconsin,35,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Maryland,Maryland,36,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Virginia Tech,Virginia Tech,37,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
