prev_week,curr_week,Top68Jaccard,Top16Overlap,Top80MeanSeedMovement,candidate
20260206,20260208,0.9428571428571428,1.0,4.275,ridge_only_context
20260208,20260215,0.9428571428571428,0.7777777777777778,6.567901234567901,ridge_only_context
20260215,20260222,0.9428571428571428,0.8823529411764706,4.853658536585366,ridge_only_context
20260222,20260301,0.9154929577464789,0.6842105263157895,7.195121951219512,ridge_only_context
20260301,20260308,0.8888888888888888,0.7777777777777778,9.209876543209877,ridge_only_context
20260308,20260315,0.9428571428571428,1.0,4.926829268292683,ridge_only_context
20260308,20260315,0.9428571428571428,1.0,4.926829268292683,ridge_only_context
20260206,20260208,0.9710144927536232,1.0,2.675,catboost_only_context
20260208,20260215,0.9428571428571428,0.7777777777777778,6.875,catboost_only_context
20260215,20260222,0.8888888888888888,0.8823529411764706,8.617283950617283,catboost_only_context
20260222,20260301,0.9154929577464789,0.6842105263157895,7.512195121951219,catboost_only_context
20260301,20260308,0.9428571428571428,0.8823529411764706,5.878048780487805,catboost_only_context
20260308,20260315,0.9428571428571428,0.7777777777777778,5.853658536585366,catboost_only_context
20260308,20260315,0.9428571428571428,0.7777777777777778,5.853658536585366,catboost_only_context
20260206,20260208,0.9428571428571428,0.8823529411764706,3.8518518518518516,ensemble_base
20260208,20260215,0.9154929577464789,0.8823529411764706,7.827160493827161,ensemble_base
20260215,20260222,0.863013698630137,0.8823529411764706,9.975,ensemble_base
20260222,20260301,0.9154929577464789,0.8823529411764706,7.146341463414634,ensemble_base
20260301,20260308,0.863013698630137,0.7777777777777778,10.024691358024691,ensemble_base
20260308,20260315,0.9154929577464789,0.8823529411764706,6.7560975609756095,ensemble_base
20260308,20260315,0.9154929577464789,0.8823529411764706,6.7560975609756095,ensemble_base
20260206,20260208,0.9710144927536232,1.0,2.5185185185185186,ensemble_context
20260208,20260215,0.9428571428571428,0.7777777777777778,6.170731707317073,ensemble_context
20260215,20260222,0.8888888888888888,0.8823529411764706,8.365853658536585,ensemble_context
20260222,20260301,0.9154929577464789,0.7777777777777778,6.987654320987654,ensemble_context
20260301,20260308,0.9154929577464789,0.8823529411764706,7.08641975308642,ensemble_context
20260308,20260315,0.9428571428571428,0.8823529411764706,5.180722891566265,ensemble_context
20260308,20260315,0.9428571428571428,0.8823529411764706,5.180722891566265,ensemble_context
20260206,20260208,0.9710144927536232,1.0,2.5185185185185186,ensemble_context_band
20260208,20260215,0.9428571428571428,0.7777777777777778,6.146341463414634,ensemble_context_band
20260215,20260222,0.8888888888888888,0.8823529411764706,8.317073170731707,ensemble_context_band
20260222,20260301,0.9154929577464789,0.7777777777777778,6.987654320987654,ensemble_context_band
20260301,20260308,0.9154929577464789,0.8823529411764706,7.08641975308642,ensemble_context_band
20260308,20260315,0.9428571428571428,0.8823529411764706,5.180722891566265,ensemble_context_band
20260308,20260315,0.9428571428571428,0.8823529411764706,5.180722891566265,ensemble_context_band
20260206,20260208,0.9428571428571428,0.8823529411764706,3.950617283950617,ensemble_context_lgbm
20260208,20260215,0.9428571428571428,0.7777777777777778,6.395061728395062,ensemble_context_lgbm
20260215,20260222,0.9154929577464789,0.8823529411764706,6.962962962962963,ensemble_context_lgbm
20260222,20260301,0.9428571428571428,0.7777777777777778,5.45,ensemble_context_lgbm
20260301,20260308,0.9154929577464789,0.7777777777777778,6.9,ensemble_context_lgbm
20260308,20260315,0.9428571428571428,0.8823529411764706,5.439024390243903,ensemble_context_lgbm
20260308,20260315,0.9428571428571428,0.8823529411764706,5.439024390243903,ensemble_context_lgbm
20260206,20260208,0.9710144927536232,1.0,2.54320987654321,ensemble_context_pu
20260208,20260215,0.9428571428571428,0.7777777777777778,6.121951219512195,ensemble_context_pu
20260215,20260222,0.8888888888888888,0.8823529411764706,8.439024390243903,ensemble_context_pu
20260222,20260301,0.9154929577464789,0.7777777777777778,6.814814814814815,ensemble_context_pu
20260301,20260308,0.9428571428571428,0.8823529411764706,5.555555555555555,ensemble_context_pu
20260308,20260315,0.9710144927536232,0.8823529411764706,3.783132530120482,ensemble_context_pu
20260308,20260315,0.9710144927536232,0.8823529411764706,3.783132530120482,ensemble_context_pu
