model,feature,importance
ridge,cat__Conference_American,0.18850932815840896
ridge,num__NETSOS,0.18699555018512137
ridge,cat__Conference_MAAC,0.18578422471322795
ridge,num__q34_wins,0.185148808197189
ridge,num__road_vs_overall_gap,0.18421998365757492
ridge,cat__Conference_SEC,0.18292727026633962
ridge,num__road_win_rate,0.17706699595853925
ridge,num__RoadWL_LOSS_PCT,0.1770669959585388
ridge,num__RoadWL_PCT,0.17706699595853848
ridge,num__NETNonConfSOS_INV_season_pct,0.1765657580277632
ridge,num__Quadrant2_PCT,0.17265350221915576
ridge,num__Quadrant2_LOSS_PCT,0.17265350221915576
ridge,num__top_resume_index_conf_z,0.1693122524265671
ridge,num__bad_loss_penalty_neg,0.16569161002072028
ridge,num__bad_loss_penalty,0.16569161002072028
ridge,num__Quadrant3_MARGIN,0.1627020340114711
ridge,num__NET Rank_INV_conf_z,0.16154856453741545
ridge,num__q12_win_rate_season_pct,0.15936198002842228
ridge,num__PrevNET_INV_season_pct,0.15915684865729973
ridge,num__net_worsened_flag,0.15883904684046923
ridge,num__top_resume_index_minus_conf_mean,0.1499265394826701
ridge,cat__Conference_MEAC,0.14892229144365204
ridge,num__q34_games,0.1405137182362053
ridge,num__top_resume_index_conf_mean,0.13573329746495255
ridge,num__nonconference_win_rate,0.12809728560192035
ridge,num__Non-ConferenceRecord_LOSS_PCT,0.12809728560191974
ridge,num__Non-ConferenceRecord_PCT,0.12809728560191946
ridge,num__bad_loss_penalty_neg_season_z,0.12015014813324079
ridge,num__NET Rank_INV_season_pct,0.12013116940436053
ridge,num__Conf.Record_W,0.11742178513268386
ridge,cat__Conference_Pac-12,0.11470385914873234
ridge,num__Non-ConferenceRecord_MARGIN,0.11326624732158874
ridge,num__q12_win_rate,0.11219188082738296
ridge,cat__Conference_Ivy League,0.11211802303297308
ridge,num__conference_win_rate,0.10960990250746172
ridge,num__Conf.Record_PCT,0.10960990250746172
ridge,num__Conf.Record_LOSS_PCT,0.10960990250746139
ridge,num__Quadrant1_W,0.10906102894505043
ridge,num__RoadWL_PCT_minus_conf_mean,0.10863204568107399
ridge,num__quality_minus_bad_season_pct,0.10487426503213138
ridge,cat__Conference_MAC,0.10423219986340798
ridge,num__conference_team_count,0.1018339167228624
ridge,cat__Conference_America East,0.10078528090566624
ridge,num__resume_balance,0.09674468886148924
ridge,num__resume_balance_conf_mean,0.09541724717085465
ridge,num__resume_x_sos,0.09438899491122066
ridge,cat__Conference_SWAC,0.09388558398006312
ridge,num__overall_games,0.09082253001069107
ridge,num__WL_G,0.0908225300106904
ridge,num__conference_strength_proxy,0.0891300841261623
ridge,num__Non-ConferenceRecord_L,0.08897072480936985
ridge,cat__Conference_SoCon,0.08869406854713183
ridge,num__q3_bad_loss_flag,0.08276082077859581
ridge,cat__Conference_ASUN,0.08126240054783766
ridge,num__q34_losses_neg,0.07864584948660902
ridge,num__q34_losses,0.07864584948660902
ridge,num__Quadrant3_W,0.07619974811205688
ridge,num__Quadrant4_W,0.07525546167655911
ridge,cat__Conference_OVC,0.0751928688071237
ridge,cat__Conference_Patriot,0.07486783230550301
ridge,num__road_quality_season_z,0.0743719394721507
ridge,num__q12_games,0.07197092512869041
ridge,num__Non-ConferenceRecord_PCT_season_z,0.07019258919752036
ridge,num__NETNonConfSOS_INV,0.06961734725029371
ridge,num__Quadrant1_PCT,0.06777486193036886
ridge,num__Quadrant1_LOSS_PCT,0.06777486193036864
ridge,num__RoadWL_W,0.0627425104953282
ridge,num__road_wins,0.06274251049532809
ridge,num__q1_quality_score,0.06266857414794202
ridge,num__quality_win_score_conf_mean,0.060679629005939706
ridge,cat__Conference_Big South,0.06038600781931641
ridge,num__Conf.Record_PCT_season_pct,0.05849555888367053
ridge,num__q12_wins,0.054682161371911286
ridge,cat__Conference_Big West,0.054331538418511335
ridge,num__quality_minus_bad,0.05256692426312326
ridge,num__Conf.Record_L,0.04560726418912697
ridge,num__Quadrant4_G,0.044318932191076243
