candidate,fold_name,valid_season,fold_weight,FieldPrecision@68,FieldRecall@68,FieldF1@68,TrueSelectedCount,PredSelectedCount,TP,FP,FN,ConfirmedSeedRMSE,ConfirmedTop68Recall,SeedOrderSpearman,CompositeLoss
ridge_only_context,2020-21+2021-22->2022-23,2022-23,0.2,0.7058823529411765,0.7058823529411765,0.7058823529411765,68,68,48,20,20,28.694650698752273,0.7872340425531915,-0.07755629784996958,32.224062463458154
catboost_only_context,2020-21+2021-22->2022-23,2022-23,0.2,0.6617647058823529,0.6617647058823529,0.6617647058823529,68,68,45,23,23,30.154213565349053,0.7446808510638298,-0.2018375976643667,34.213037094760814
ensemble_base,2020-21+2021-22->2022-23,2022-23,0.2,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,29.1602323196536,0.7659574468085106,-0.1349963646779091,32.866114672594776
ensemble_context,2020-21+2021-22->2022-23,2022-23,0.2,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,28.67722055435994,0.7872340425531915,-0.07058494523424196,32.383102907301115
ensemble_context_band,2020-21+2021-22->2022-23,2022-23,0.2,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,28.68241361991403,0.7872340425531915,-0.0711658912855526,32.388295972855204
ensemble_context_lgbm,2020-21+2021-22->2022-23,2022-23,0.2,0.6764705882352942,0.6764705882352942,0.6764705882352942,68,68,46,22,22,29.16533938216039,0.7659574468085106,-0.12952668438492487,33.04769232333686
ensemble_context_pu,2020-21+2021-22->2022-23,2022-23,0.2,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,28.67722055435994,0.7872340425531915,-0.07058494523424196,32.383102907301115
ridge_only_context,2020-21+2021-22+2022-23->2023-24,2023-24,0.3,0.6617647058823529,0.6617647058823529,0.6617647058823529,68,68,45,23,23,32.383999201076435,0.6808510638297872,-0.3813398305970902,36.442822730488196
catboost_only_context,2020-21+2021-22+2022-23->2023-24,2023-24,0.3,0.6323529411764706,0.6323529411764706,0.6323529411764706,68,68,43,25,25,32.797249495469664,0.6595744680851063,-0.42972782574327234,37.20901420135202
ensemble_base,2020-21+2021-22+2022-23->2023-24,2023-24,0.3,0.6617647058823529,0.6617647058823529,0.6617647058823529,68,68,45,23,23,32.18298744447233,0.6808510638297872,-0.3760499747472539,36.24181097388409
ensemble_context,2020-21+2021-22+2022-23->2023-24,2023-24,0.3,0.6470588235294118,0.6470588235294118,0.6470588235294118,68,68,44,24,24,32.37348534204325,0.6808510638297872,-0.37722549826943974,36.60877945969031
ensemble_context_band,2020-21+2021-22+2022-23->2023-24,2023-24,0.3,0.6470588235294118,0.6470588235294118,0.6470588235294118,68,68,44,24,24,32.37348534204325,0.6808510638297872,-0.37722549826943974,36.60877945969031
ensemble_context_lgbm,2020-21+2021-22+2022-23->2023-24,2023-24,0.3,0.6470588235294118,0.6470588235294118,0.6470588235294118,68,68,44,24,24,32.40600154555037,0.6808510638297872,-0.3784010217916256,36.641295663197425
ensemble_context_pu,2020-21+2021-22+2022-23->2023-24,2023-24,0.3,0.6470588235294118,0.6470588235294118,0.6470588235294118,68,68,44,24,24,32.37348534204325,0.6808510638297872,-0.37722549826943974,36.60877945969031
ridge_only_context,2020-21+2021-22+2022-23+2023-24->2024-25,2024-25,0.5,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,30.58321979997092,0.7222222222222222,-0.23191486313504475,34.28910215291209
catboost_only_context,2020-21+2021-22+2022-23+2023-24->2024-25,2024-25,0.5,0.6764705882352942,0.6764705882352942,0.6764705882352942,68,68,46,22,22,31.12579018779788,0.7037037037037037,-0.27911268707504366,35.00814312897435
ensemble_base,2020-21+2021-22+2022-23+2023-24->2024-25,2024-25,0.5,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,30.54565496166414,0.7222222222222222,-0.2329166552004229,34.251537314605315
ensemble_context,2020-21+2021-22+2022-23+2023-24->2024-25,2024-25,0.5,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,30.552323061339287,0.7222222222222222,-0.22767651208921405,34.25820541428046
ensemble_context_band,2020-21+2021-22+2022-23+2023-24->2024-25,2024-25,0.5,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,30.55262612220041,0.7222222222222222,-0.22775357301732008,34.25850847514159
ensemble_context_lgbm,2020-21+2021-22+2022-23+2023-24->2024-25,2024-25,0.5,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,30.531707865515568,0.7222222222222222,-0.22829299951406215,34.237590218456745
ensemble_context_pu,2020-21+2021-22+2022-23+2023-24->2024-25,2024-25,0.5,0.6911764705882353,0.6911764705882353,0.6911764705882353,68,68,47,21,21,30.540501342024857,0.7222222222222222,-0.22767651208921405,34.246383694966035
